Date,Close,Open,High,Low,adj_close,kurs_jual,kurs_beli
12/22/2021,7325,7425,7425,7325,7214.434082,14456.93,14313.08
12/23/2021,7300,7325,7350,7300,7189.811523,14417.73,14274.27
12/24/2021,7300,7300,7350,7300,7189.811523,14429.79,14286.21
12/27/2021,7350,7300,7350,7300,7239.056641,14398.64,14255.37
12/28/2021,7350,7375,7400,7325,7239.056641,14418.74,14275.27
12/29/2021,7300,7350,7375,7300,7189.811523,14425.77,14282.23
12/30/2021,7300,7350,7350,7300,7189.811523,14441.85,14298.15
1/3/2022,7325,7325,7400,7300,7214.434082,14396.63,14253.38
1/4/2022,7400,7325,7450,7325,7288.301758,14394.62,14251.39
1/5/2022,7450,7450,7525,7375,7337.547363,14381.55,14238.45
1/6/2022,7475,7500,7525,7425,7362.169922,14382.56,14239.45
1/7/2022,7650,7550,7700,7500,7534.52832,14373.51,14230.49
1/10/2022,7600,7575,7650,7550,7485.283203,14370.5,14227.51
1/11/2022,7700,7650,7700,7625,7583.773438,14394.62,14251.39
1/12/2022,7700,7700,7700,7650,7583.773438,14431.8,14288.2
1/13/2022,7700,7700,7750,7650,7583.773438,14467.98,14324.02
1/14/2022,7850,7700,7850,7650,7731.509277,14436.83,14293.18
1/17/2022,7750,7900,7900,7700,7633.019043,14381.55,14238.45
1/18/2022,7675,7775,7775,7550,7559.150879,14341.35,14198.65
1/19/2022,7675,7650,7725,7575,7559.150879,14349.39,14206.61
1/20/2022,7775,7725,7775,7625,7657.641602,14336.33,14193.68
1/21/2022,7950,7775,7950,7700,7830,14308.19,14165.82
1/24/2022,7800,7825,7850,7775,7682.26416,14296.13,14153.88
1/25/2022,7775,7675,7775,7625,7657.641602,14290.1,14147.91
1/26/2022,7700,7700,7750,7650,7583.773438,14322.26,14179.75
1/27/2022,7800,7625,7800,7625,7682.26416,14335.32,14192.68
1/28/2022,7775,7800,7825,7700,7657.641602,14420.75,14277.26
